FG Time = 2409.38	 BG Time = 365.679
5	0	0
15	0	0
25	0	0
35	0.000415044	0
45	0	0
55	0.0066407	0.00546927
65	0.0269778	0
75	0.0597663	0.0109385
85	0.0805185	0.00273464
95	0.109157	0.00273464
105	0.133229	0.00273464
115	0.14568	0.00273464
125	0.176809	0
135	0.173488	0.00273464
145	0.201711	0.00820391
155	0.205032	0.00546927
165	0.217483	0
175	0.228274	0.00273464
185	0.234915	0
195	0.232009	0
205	0.231179	0.00273464
215	0.244461	0
225	0.247366	0
235	0.248196	0.00273464
245	0.23782	0
255	0.248196	0.00273464
265	0.259817	0
275	0.253177	0.00546927
285	0.261478	0
295	0.253177	0.00546927
305	0.251517	0.00273464
315	0.247366	0.00273464
325	0.238235	0.00820391
335	0.243216	0
345	0.241555	0
355	0.220388	0
365	0.223294	0
375	0.230764	0
385	0.222048	0.00273464
395	0.219143	0
405	0.208767	0
415	0.217898	0.00546927
425	0.204202	0
435	0.174733	0
445	0.196731	0
455	0.163527	0
465	0.166848	0
475	0.168508	0
485	0.168093	0.00546927
495	0.159792	0
505	0.164772	0
515	0.14568	0
525	0.136964	0.00273464
535	0.110817	0.00273464
545	0.129909	0
555	0.106666	0.00273464
565	0.109987	0.00273464
575	0.100026	0.00273464
585	0.0917247	0
595	0.0830088	0.00273464
605	0.0859141	0.00546927
615	0.065992	0
625	0.0684822	0.00273464
635	0.0576911	0
645	0.047315	0
655	0.057276	0.00546927
665	0.0410893	0.00273464
675	0.0390141	0.00546927
685	0.0307132	0
695	0.0352787	0
705	0.0215823	0
715	0.0211672	0.00273464
725	0.0170168	0.00273464
735	0.0174318	0.00273464
745	0.00954601	0
755	0.0107911	0.00273464
765	0.00954601	0.0109385
775	0.00996105	0
785	0.00954601	0
795	0.00581061	0.00546927
805	0.00498053	0
815	0.00373539	0
825	0.00415044	0.00273464
835	0.00207522	0
845	0.00581061	0.00273464
855	0.00249026	0.00273464
865	0.00373539	0.00273464
875	0.00373539	0.00546927
885	0.00166018	0.00273464
895	0.00249026	0
905	0.000830088	0.00273464
915	0.00166018	0.00273464
925	0.00124513	0
935	0.00166018	0.00273464
945	0.00249026	0
955	0.000830088	0.00273464
965	0.00166018	0.00273464
975	0.00332035	0.00273464
985	0.00124513	0
995	0.00249026	0.00273464
1005	0.00249026	0
1015	0.00249026	0
1025	0.00207522	0
1035	0.000830088	0.00546927
1045	0.00166018	0.00273464
1055	0.00290531	0.00273464
1065	0.000830088	0
1075	0.00207522	0
1085	0.00249026	0
1095	0.00332035	0.00273464
1105	0.00207522	0.00546927
1115	0.00124513	0
1125	0.00249026	0
1135	0.00124513	0
1145	0.00124513	0.00273464
1155	0.00332035	0
1165	0.00249026	0.00273464
1175	0.000415044	0
1185	0.000830088	0
1195	0.00332035	0.00546927
1205	0.00207522	0.00273464
1215	0.00207522	0.00546927
1225	0.00124513	0.00546927
1235	0.00166018	0
1245	0.000830088	0.00546927
1255	0.00207522	0.00546927
1265	0	0.00546927
1275	0.00166018	0.00273464
1285	0.000830088	0
1295	0.00249026	0.00546927
1305	0.00207522	0.00273464
1315	0.00332035	0
1325	0.00124513	0.00546927
1335	0.000830088	0
1345	0.00290531	0
1355	0.00166018	0
1365	0.00166018	0.00273464
1375	0.00124513	0.00273464
1385	0.00207522	0
1395	0.00166018	0.00273464
1405	0.00124513	0
1415	0.00166018	0
1425	0.00249026	0.00273464
1435	0.00124513	0.00273464
1445	0.00166018	0.00273464
1455	0.00124513	0
1465	0.00124513	0.00273464
1475	0.00249026	0
1485	0.00124513	0.00546927
1495	0.000830088	0
1505	0.000830088	0
1515	0.000830088	0
1525	0.00124513	0
1535	0.000830088	0.00273464
1545	0.000830088	0.00273464
1555	0.00166018	0
1565	0.00124513	0
1575	0.00124513	0.00546927
1585	0.00207522	0
1595	0.00290531	0
1605	0	0.00273464
1615	0.00456548	0
1625	0.00207522	0
1635	0.000830088	0
1645	0.00249026	0
1655	0.00124513	0
1665	0.00166018	0
1675	0.00124513	0
1685	0.00166018	0.00546927
1695	0	0.00273464
1705	0.000830088	0.00273464
1715	0.00166018	0
1725	0.00207522	0
1735	0.00207522	0
1745	0.00207522	0.00820391
1755	0.000830088	0
1765	0.00124513	0
1775	0.000830088	0.00273464
1785	0.00124513	0
1795	0.000830088	0
1805	0.00124513	0
1815	0.00124513	0
1825	0.000830088	0.00273464
1835	0.00166018	0.00273464
1845	0.00124513	0
1855	0.000415044	0.00546927
1865	0.00207522	0.00273464
1875	0.00249026	0.00273464
1885	0.00166018	0
1895	0.00124513	0
1905	0.00124513	0
1915	0.00249026	0
1925	0.000830088	0
1935	0.000415044	0
1945	0.00124513	0.00273464
1955	0.00166018	0
1965	0.00124513	0
1975	0.00124513	0
1985	0.00166018	0
