FG time = 2229	BG time = 483.026
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.0013459	0
135	0.000448632	0
145	0.00269179	0
155	0.00403769	0
165	0.00628085	0
175	0.00852401	0
185	0.00628085	0
195	0.00762675	0
205	0.00628085	0
215	0.00942128	0
225	0.00762675	0
235	0.013459	0
245	0.0125617	0
255	0.0121131	0
265	0.0121131	0
275	0.0116644	0
285	0.0179453	0
295	0.0143562	0
305	0.00942128	0
315	0.0112158	0
325	0.0139076	0
335	0.0161508	0
345	0.0148049	0
355	0.0157021	0
365	0.0157021	0
375	0.0157021	0
385	0.0143562	0
395	0.0152535	0
405	0.0152535	0
415	0.0139076	0
425	0.00942128	0
435	0.0121131	0
445	0.0188426	0
455	0.00942128	0
465	0.00807538	0
475	0.013459	0
485	0.0121131	0
495	0.00448632	0
505	0.00807538	0
515	0.00942128	0
525	0.00493496	0
535	0.00583222	0
545	0.00717812	0
555	0.00493496	0
565	0.00852401	0
575	0.00897265	0
585	0.00717812	0
595	0.00717812	0
605	0.00717812	0
615	0.00448632	0
625	0.00179453	0
635	0.00314043	0
645	0.00269179	0
655	0.00224316	0
665	0.00269179	0
675	0.00224316	0
685	0.000897265	0
695	0.000448632	0
705	0.000897265	0
715	0.000897265	0
725	0.0013459	0
735	0.000448632	0
745	0.000897265	0
755	0.000448632	0
765	0	0
775	0	0
785	0	0
795	0.000448632	0
805	0	0
815	0.000448632	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
