FG time = 2850.74	BG time = 485.759
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000701573	0
55	0.0112252	0
65	0.0687541	0
75	0.155048	0
85	0.233273	0
95	0.263791	0
105	0.284137	0
115	0.309394	0
125	0.310446	0
135	0.319216	0
145	0.337106	0
155	0.327284	0
165	0.34342	0
175	0.336404	0
185	0.380252	0
195	0.371483	0
205	0.359205	0
215	0.372886	0
225	0.349032	0
235	0.359556	0
245	0.360959	0
255	0.366572	0
265	0.373237	0
275	0.347629	0
285	0.359907	0
295	0.341315	0
305	0.362012	0
315	0.359556	0
325	0.332195	0
335	0.345875	0
345	0.34342	0
355	0.339561	0
365	0.330792	0
375	0.318514	0
385	0.311498	0
395	0.289048	0
405	0.318865	0
415	0.283786	0
425	0.299221	0
435	0.255373	0
445	0.262739	0
455	0.252566	0
465	0.230817	0
475	0.223451	0
485	0.234325	0
495	0.219242	0
505	0.192582	0
515	0.188723	0
525	0.190828	0
535	0.199597	0
545	0.168728	0
555	0.149786	0
565	0.145927	0
575	0.135404	0
585	0.115409	0
595	0.118566	0
605	0.107341	0
615	0.0968171	0
625	0.0943615	0
635	0.0785762	0
645	0.0757699	0
655	0.0634923	0
665	0.0484085	0
675	0.0427959	0
685	0.0392881	0
695	0.0375341	0
705	0.0284137	0
715	0.0235027	0
725	0.0182409	0
735	0.014733	0
745	0.0126283	0
755	0.0108744	0
765	0.00912045	0
775	0.00666494	0
785	0.00456022	0
795	0.00140315	0
805	0.00210472	0
815	0.00280629	0
825	0.00105236	0
835	0.000701573	0
845	0.000350786	0
855	0	0
865	0.000350786	0
875	0.000350786	0
885	0	0
895	0.000350786	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
