FG time = 3612	BG time = 485.98
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000276855	0
55	0.00609081	0
65	0.0301772	0
75	0.0661684	0
85	0.0921927	0
95	0.13289	0
105	0.147564	0
115	0.170543	0
125	0.175803	0
135	0.20155	0
145	0.19546	0
155	0.213732	0
165	0.224806	0
175	0.251938	0
185	0.245847	0
195	0.241694	0
205	0.238926	0
215	0.254983	0
225	0.268826	0
235	0.270211	0
245	0.280454	0
255	0.282669	0
265	0.267719	0
275	0.263843	0
285	0.289037	0
295	0.262459	0
305	0.270211	0
315	0.272702	0
325	0.272425	0
335	0.274917	0
345	0.248062	0
355	0.265781	0
365	0.246401	0
375	0.23588	0
385	0.233112	0
395	0.237265	0
405	0.240587	0
415	0.223976	0
425	0.226744	0
435	0.219546	0
445	0.196567	0
455	0.194352	0
465	0.180786	0
475	0.179956	0
485	0.173034	0
495	0.164452	0
505	0.166667	0
515	0.158084	0
525	0.14258	0
535	0.147287	0
545	0.120155	0
555	0.127353	0
565	0.1232	0
575	0.101052	0
585	0.0960687	0
595	0.102436	0
605	0.0769657	0
615	0.0797342	0
625	0.074474	0
635	0.0586933	0
645	0.0639535	0
655	0.049557	0
665	0.0481728	0
675	0.0437431	0
685	0.0359912	0
695	0.0246401	0
705	0.0260244	0
715	0.0246401	0
725	0.0199336	0
735	0.0163344	0
745	0.0141196	0
755	0.0110742	0
765	0.00719823	0
775	0.00636767	0
785	0.00775194	0
795	0.00442968	0
805	0.00110742	0
815	0.00138428	0
825	0.000276855	0
835	0.000276855	0
845	0.00110742	0
855	0.000276855	0
865	0	0
875	0.000276855	0
885	0.00055371	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
