FG time = 3312.56	BG time = 613.684
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000603763	0
55	0.00513198	0
65	0.0362258	0
75	0.0573575	0
85	0.0787911	0
95	0.0950927	0
105	0.0978096	0
115	0.104149	0
125	0.116828	0
135	0.12679	0
145	0.134035	0
155	0.138865	0
165	0.13796	0
175	0.152752	0
185	0.150639	0
195	0.167242	0
205	0.154865	0
215	0.153658	0
225	0.155469	0
235	0.151544	0
245	0.148224	0
255	0.158488	0
265	0.167242	0
275	0.163016	0
285	0.162714	0
295	0.165733	0
305	0.15879	0
315	0.155167	0
325	0.151846	0
335	0.151243	0
345	0.16362	0
355	0.150035	0
365	0.144903	0
375	0.139771	0
385	0.131922	0
395	0.134941	0
405	0.131318	0
415	0.134337	0
425	0.132828	0
435	0.131318	0
445	0.116828	0
455	0.120753	0
465	0.120451	0
475	0.109281	0
485	0.105357	0
495	0.105659	0
505	0.0857343	0
515	0.0987152	0
525	0.0884513	0
535	0.0709421	0
545	0.0775835	0
555	0.0736591	0
565	0.0685271	0
575	0.0664139	0
585	0.0561499	0
595	0.0428672	0
605	0.0531311	0
615	0.0464897	0
625	0.0413578	0
635	0.0350182	0
645	0.0389427	0
655	0.028075	0
665	0.0298863	0
675	0.0268674	0
685	0.0226411	0
695	0.0190185	0
705	0.0135847	0
715	0.0132828	0
725	0.00875456	0
735	0.0117734	0
745	0.00724515	0
755	0.00754704	0
765	0.00422634	0
775	0.00452822	0
785	0.00422634	0
795	0.00271693	0
805	0.00211317	0
815	0.000905644	0
825	0.00211317	0
835	0.00211317	0
845	0.000905644	0
855	0	0
865	0.000301881	0
875	0.000301881	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
