FG time = 2717	BG time = 494.879
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000736107	0
55	0.00956938	0
65	0.0522636	0
75	0.082812	0
85	0.106367	0
95	0.123298	0
105	0.135444	0
115	0.145749	0
125	0.16268	0
135	0.159367	0
145	0.172985	0
155	0.186971	0
165	0.186235	0
175	0.190284	0
185	0.202061	0
195	0.205374	0
205	0.199117	0
215	0.213103	0
225	0.215679	0
235	0.211631	0
245	0.20979	0
255	0.209054	0
265	0.200589	0
275	0.208318	0
285	0.220096	0
295	0.202797	0
305	0.213103	0
315	0.202797	0
325	0.193228	0
335	0.210158	0
345	0.208686	0
355	0.200221	0
365	0.183659	0
375	0.189915	0
385	0.178138	0
395	0.166728	0
405	0.180714	0
415	0.172985	0
425	0.163784	0
435	0.155318	0
445	0.159735	0
455	0.14943	0
465	0.142437	0
475	0.130659	0
485	0.12293	0
495	0.128819	0
505	0.131027	0
515	0.106735	0
525	0.116305	0
535	0.0975341	0
545	0.0979022	0
555	0.0772912	0
565	0.0780273	0
575	0.0732426	0
585	0.0765551	0
595	0.0736107	0
605	0.0677218	0
615	0.0581524	0
625	0.0441664	0
635	0.0441664	0
645	0.0364373	0
655	0.0404859	0
665	0.0379095	0
675	0.034229	0
685	0.027604	0
695	0.0250276	0
705	0.0224512	0
715	0.0176666	0
725	0.013618	0
735	0.013986	0
745	0.00920133	0
755	0.00699301	0
765	0.00699301	0
775	0.00625691	0
785	0.00368053	0
795	0.00257637	0
805	0.00220832	0
815	0.00184027	0
825	0.00184027	0
835	0.000368053	0
845	0.00147221	0
855	0.00110416	0
865	0	0
875	0.000368053	0
885	0	0
895	0	0
905	0.000368053	0
915	0	0
925	0.000368053	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
