FG time = 3171	BG time = 485.858
5	0.000630716	0
15	0	0
25	0.000630716	0
35	0.00473037	0
45	0.0186061	0
55	0.0394197	0
65	0.10123	0
75	0.146011	0
85	0.172501	0
95	0.172185	0
105	0.189215	0
115	0.200568	0
125	0.192368	0
135	0.204037	0
145	0.214443	0
155	0.233365	0
165	0.22012	0
175	0.230527	0
185	0.238726	0
195	0.244402	0
205	0.226742	0
215	0.250079	0
225	0.239672	0
235	0.243141	0
245	0.24251	0
255	0.248817	0
265	0.244718	0
275	0.242826	0
285	0.251656	0
295	0.257332	0
305	0.239672	0
315	0.228319	0
325	0.248502	0
335	0.236834	0
345	0.233049	0
355	0.21602	0
365	0.217282	0
375	0.215389	0
385	0.19836	0
395	0.210974	0
405	0.214128	0
415	0.199621	0
425	0.18953	0
435	0.188899	0
445	0.173447	0
455	0.180385	0
465	0.185746	0
475	0.153579	0
485	0.144434	0
495	0.139073	0
505	0.132766	0
515	0.125512	0
525	0.128981	0
535	0.117313	0
545	0.109114	0
555	0.102491	0
565	0.0883002	0
575	0.0911384	0
585	0.0851466	0
595	0.0763166	0
605	0.0649637	0
615	0.0655944	0
625	0.0577105	0
635	0.0514033	0
645	0.0391044	0
655	0.0495112	0
665	0.0350047	0
675	0.0305897	0
685	0.029959	0
695	0.0242826	0
705	0.0141911	0
715	0.0145065	0
725	0.0104068	0
735	0.00914538	0
745	0.00536108	0
755	0.00756859	0
765	0.00315358	0
775	0.00315358	0
785	0.0022075	0
795	0.00189215	0
805	0.00157679	0
815	0.000946073	0
825	0.000315358	0
835	0.000315358	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
