FG time = 1985.15	BG time = 304.966
5	0	0
15	0	0
25	0	0
35	0	0
45	0.00201496	0
55	0.0176309	0
65	0.0433217	0
75	0.0770723	0
85	0.107297	0
95	0.131476	0
105	0.145581	0
115	0.160189	0
125	0.190918	0
135	0.18991	0
145	0.215601	0
155	0.194948	0
165	0.249855	0
175	0.216608	0
185	0.235751	0
195	0.248344	0
205	0.260434	0
215	0.265471	0
225	0.257915	0
235	0.267486	0
245	0.270005	0
255	0.292169	0
265	0.270509	0
275	0.279576	0
285	0.285117	0
295	0.265471	0
305	0.271516	0
315	0.277561	0
325	0.261441	0
335	0.265471	0
345	0.278065	0
355	0.24784	0
365	0.261945	0
375	0.266479	0
385	0.258923	0
395	0.243307	0
405	0.25187	0
415	0.230209	0
425	0.229706	0
435	0.24784	0
445	0.216608	0
455	0.21409	0
465	0.192429	0
475	0.192429	0
485	0.200992	0
495	0.180843	0
505	0.194444	0
515	0.159182	0
525	0.141047	0
535	0.163716	0
545	0.137017	0
555	0.126439	0
565	0.121905	0
575	0.114853	0
585	0.112838	0
595	0.0881546	0
605	0.0886583	0
615	0.0982294	0
625	0.0760648	0
635	0.0725386	0
645	0.0634713	0
655	0.0528928	0
665	0.0468479	0
675	0.0428179	0
685	0.0342544	0
695	0.0402992	0
705	0.0256908	0
715	0.0216608	0
725	0.0196459	0
735	0.0141047	0
745	0.0130973	0
755	0.00705237	0
765	0.00705237	0
775	0.00453366	0
785	0.0050374	0
795	0.00201496	0
805	0.00151122	0
815	0.00050374	0
825	0.00151122	0
835	0.00151122	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
