FG time = 3604	BG time = 545.034
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0.000277469	0
115	0	0
125	0.000554939	0
135	0.00166482	0
145	0.00110988	0
155	0.00166482	0
165	0.00305216	0
175	0.00582686	0
185	0.00776914	0
195	0.00971143	0
205	0.00776914	0
215	0.00887902	0
225	0.00971143	0
235	0.0124861	0
245	0.0113762	0
255	0.0138735	0
265	0.0152608	0
275	0.0160932	0
285	0.0133185	0
295	0.0116537	0
305	0.0116537	0
315	0.0147059	0
325	0.0133185	0
335	0.0138735	0
345	0.0138735	0
355	0.0149833	0
365	0.0147059	0
375	0.0144284	0
385	0.0133185	0
395	0.0155383	0
405	0.013596	0
415	0.00971143	0
425	0.0133185	0
435	0.00860155	0
445	0.0124861	0
455	0.0133185	0
465	0.0102664	0
475	0.0124861	0
485	0.0138735	0
495	0.00860155	0
505	0.00915649	0
515	0.00832408	0
525	0.00554939	0
535	0.00776914	0
545	0.00887902	0
555	0.0072142	0
565	0.00749167	0
575	0.00443951	0
585	0.00443951	0
595	0.00499445	0
605	0.00443951	0
615	0.00527192	0
625	0.00388457	0
635	0.00443951	0
645	0.00332963	0
655	0.00388457	0
665	0.00249722	0
675	0.00221976	0
685	0.00221976	0
695	0.00138735	0
705	0.000832408	0
715	0.00110988	0
725	0.00138735	0
735	0.000832408	0
745	0	0
755	0.000277469	0
765	0.000277469	0
775	0.000554939	0
785	0.000277469	0
795	0.000277469	0
805	0.000277469	0
815	0	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
