FG time = 3604.3	BG time = 485
5	0.000277446	0
15	0	0
25	0.000277446	0
35	0.0041617	0
45	0.0213634	0
55	0.0679744	0
65	0.15648	0
75	0.237494	0
85	0.268568	0
95	0.31185	0
105	0.325167	0
115	0.335988	0
125	0.350692	0
135	0.383431	0
145	0.412563	0
155	0.405349	0
165	0.417557	0
175	0.420331	0
185	0.414227	0
195	0.452238	0
205	0.442804	0
215	0.44114	0
225	0.45196	0
235	0.43892	0
245	0.44114	0
255	0.449463	0
265	0.458896	0
275	0.448353	0
285	0.424493	0
295	0.445024	0
305	0.439475	0
315	0.433371	0
325	0.422828	0
335	0.430874	0
345	0.434758	0
355	0.418944	0
365	0.394806	0
375	0.417279	0
385	0.383986	0
395	0.373998	0
405	0.365119	0
415	0.365952	0
425	0.339039	0
435	0.329606	0
445	0.309353	0
455	0.319341	0
465	0.298532	0
475	0.28355	0
485	0.274949	0
495	0.281608	0
505	0.249424	0
515	0.229171	0
525	0.236662	0
535	0.209195	0
545	0.216686	0
555	0.199206	0
565	0.175901	0
575	0.161751	0
585	0.154815	0
595	0.139833	0
605	0.132619	0
615	0.112921	0
625	0.0987709	0
635	0.0998807	0
645	0.0810143	0
655	0.0821241	0
665	0.0660322	0
675	0.0590961	0
685	0.0563216	0
695	0.0427267	0
705	0.0346808	0
715	0.0291319	0
725	0.0321838	0
735	0.0202536	0
745	0.0152595	0
755	0.00943318	0
765	0.00860084	0
775	0.00832339	0
785	0.00610382	0
795	0.00527148	0
805	0.00221957	0
815	0.00332936	0
825	0.000832339	0
835	0.000277446	0
845	0.000554893	0
855	0.000277446	0
865	0.000277446	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
