FG time = 3406.28	BG time = 614.235
5	0	0
15	0	0
25	0	0
35	0.000293575	0
45	0.00411005	0
55	0.019376	0
65	0.0472656	0
75	0.0804396	0
85	0.0951184	0
95	0.099522	0
105	0.108916	0
115	0.108623	0
125	0.118604	0
135	0.120659	0
145	0.119192	0
155	0.126825	0
165	0.136219	0
175	0.125357	0
185	0.147081	0
195	0.140329	0
205	0.140916	0
215	0.126531	0
225	0.128292	0
235	0.137393	0
245	0.135632	0
255	0.135925	0
265	0.13387	0
275	0.131228	0
285	0.145613	0
295	0.13387	0
305	0.120366	0
315	0.132402	0
325	0.121834	0
335	0.135338	0
345	0.124476	0
355	0.127118	0
365	0.118898	0
375	0.125357	0
385	0.116843	0
395	0.107155	0
405	0.11332	0
415	0.1051	0
425	0.106568	0
435	0.106568	0
445	0.103045	0
455	0.0933569	0
465	0.0942377	0
475	0.0824947	0
485	0.0824947	0
495	0.0880726	0
505	0.0595958	0
515	0.0689902	0
525	0.076036	0
535	0.0581279	0
545	0.0516693	0
555	0.0560729	0
565	0.0551922	0
575	0.0534307	0
585	0.0431556	0
595	0.0411005	0
605	0.0405134	0
615	0.0349355	0
625	0.0314126	0
635	0.0355226	0
645	0.0284768	0
655	0.0264218	0
665	0.023486	0
675	0.0211374	0
685	0.0146788	0
695	0.0123302	0
705	0.00733938	0
715	0.00880726	0
725	0.00763296	0
735	0.00528436	0
745	0.00293575	0
755	0.00440363	0
765	0.00205503	0
775	0.00293575	0
785	0.00264218	0
795	0.000880726	0
805	0.0011743	0
815	0.000587151	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
