FG time = 3013	BG time = 613.917
5	0	0
15	0	0
25	0	0
35	0	0
45	0.00331895	0
55	0.0371723	0
65	0.0680385	0
75	0.0922668	0
85	0.124129	0
95	0.142051	0
105	0.155327	0
115	0.161301	0
125	0.176236	0
135	0.185861	0
145	0.197809	0
155	0.214404	0
165	0.20312	0
175	0.231663	0
185	0.229008	0
195	0.239628	0
205	0.241288	0
215	0.241288	0
225	0.242615	0
235	0.248589	0
245	0.228012	0
255	0.24693	0
265	0.253568	0
275	0.240956	0
285	0.246598	0
295	0.254564	0
305	0.255227	0
315	0.248921	0
325	0.237969	0
335	0.239628	0
345	0.233986	0
355	0.224361	0
365	0.233986	0
375	0.216396	0
385	0.224029	0
395	0.205443	0
405	0.193827	0
415	0.196482	0
425	0.180219	0
435	0.184534	0
445	0.173249	0
455	0.1769	0
465	0.163956	0
475	0.165616	0
485	0.145702	0
495	0.1384	0
505	0.138068	0
515	0.140392	0
525	0.125788	0
535	0.114504	0
545	0.120478	0
555	0.106538	0
565	0.10156	0
575	0.0992366	0
585	0.0919349	0
595	0.0826419	0
605	0.0713575	0
615	0.0660471	0
625	0.0703618	0
635	0.0614006	0
645	0.0560903	0
655	0.0448058	0
665	0.0404912	0
675	0.0311981	0
685	0.0308662	0
695	0.028543	0
705	0.0229008	0
715	0.0169267	0
725	0.0162629	0
735	0.0129439	0
745	0.00896117	0
755	0.0069698	0
765	0.0066379	0
775	0.00564222	0
785	0.00331895	0
795	0.00431464	0
805	0.00199137	0
815	0.000995685	0
825	0.00066379	0
835	0.000995685	0
845	0.000331895	0
855	0.000331895	0
865	0.000331895	0
875	0	0
885	0	0
895	0.000331895	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
