FG time = 3319.76	BG time = 735
5	0	0
15	0	0
25	0	0
35	0	0
45	0.00090368	0
55	0.0108442	0
65	0.0301227	0
75	0.0527147	0
85	0.0686797	0
95	0.0780177	0
105	0.0786202	0
115	0.0951876	0
125	0.111755	0
135	0.117177	0
145	0.11055	0
155	0.120792	0
165	0.115972	0
175	0.129226	0
185	0.126816	0
195	0.129226	0
205	0.125612	0
215	0.128323	0
225	0.137661	0
235	0.121093	0
245	0.139167	0
255	0.138564	0
265	0.13013	0
275	0.13495	0
285	0.143083	0
295	0.137058	0
305	0.138865	0
315	0.127118	0
325	0.117177	0
335	0.121394	0
345	0.117177	0
355	0.122298	0
365	0.127118	0
375	0.118081	0
385	0.118382	0
395	0.11055	0
405	0.122298	0
415	0.112358	0
425	0.102718	0
435	0.107839	0
445	0.101212	0
455	0.0948864	0
465	0.0948864	0
475	0.0864521	0
485	0.0861508	0
495	0.0849459	0
505	0.0813312	0
515	0.0707883	0
525	0.0686797	0
535	0.0623539	0
545	0.0641613	0
555	0.0515098	0
565	0.0593417	0
575	0.0484975	0
585	0.0494012	0
595	0.0445815	0
605	0.0409668	0
615	0.0343398	0
625	0.0346411	0
635	0.0322313	0
645	0.0316288	0
655	0.0277129	0
665	0.0210859	0
675	0.0180736	0
685	0.015965	0
695	0.0150613	0
705	0.0123503	0
715	0.0123503	0
725	0.0114466	0
735	0.00602453	0
745	0.00421717	0
755	0.00481963	0
765	0.00240981	0
775	0.00210859	0
785	0.00210859	0
795	0.00240981	0
805	0.00150613	0
815	0.000602453	0
825	0.000301227	0
835	0.000602453	0
845	0.000602453	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
