FG time = 2269	BG time = 726.096
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0.000440724	0
95	0.00176289	0
105	0.00264434	0
115	0.00308506	0
125	0.00484796	0
135	0.00572941	0.00137723
145	0.00837375	0.00137723
155	0.0114588	0
165	0.00617013	0.00550891
175	0.0105774	0.00275446
185	0.00705158	0
195	0.00793302	0.00137723
205	0.00793302	0
215	0.0114588	0
225	0.00705158	0.00137723
235	0.00881447	0
245	0.0074923	0.00275446
255	0.00661085	0
265	0.00705158	0.00137723
275	0.00617013	0.00137723
285	0.0074923	0
295	0.0074923	0
305	0.00881447	0
315	0.00440724	0
325	0.00705158	0
335	0.0105774	0.00137723
345	0.00308506	0.00275446
355	0.00572941	0
365	0.00705158	0
375	0.00572941	0
385	0.00572941	0
395	0.00484796	0
405	0.00484796	0
415	0.00308506	0
425	0.00440724	0.00137723
435	0.00352579	0
445	0.00396651	0
455	0.00352579	0
465	0.00176289	0
475	0.00220362	0
485	0.000881447	0
495	0.00132217	0.00275446
505	0.00176289	0
515	0.000440724	0
525	0.00176289	0
535	0.00176289	0
545	0.00176289	0
555	0.00264434	0.00137723
565	0.00132217	0
575	0.00220362	0
585	0	0
595	0.000440724	0
605	0.00220362	0
615	0.000440724	0
625	0	0
635	0.000440724	0
645	0.00132217	0
655	0.000440724	0
665	0.000440724	0
675	0.00132217	0
685	0	0
695	0	0
705	0.000440724	0
715	0.000440724	0.00137723
725	0.000440724	0
735	0.000440724	0
745	0.000440724	0
755	0.000440724	0
765	0	0
775	0	0
785	0	0
795	0	0
805	0	0
815	0	0
825	0	0
835	0	0
845	0.000440724	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0.000440724	0
965	0	0
975	0.000440724	0
985	0.00132217	0
995	0.000440724	0
1005	0.000440724	0
1015	0	0
1025	0.000881447	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
