FG time = 2704.33	BG time = 424.503
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0.00184889	0
65	0.0162702	0.00706708
75	0.0325404	0.00471139
85	0.0658204	0.00471139
95	0.088007	0.00471139
105	0.106496	0.00471139
115	0.13238	0.00235569
125	0.151239	0.00471139
135	0.147911	0.00235569
145	0.167139	0.00706708
155	0.178972	0.00235569
165	0.189696	0
175	0.193024	0.00235569
185	0.191545	0.00235569
195	0.189326	0.00235569
205	0.201529	0
215	0.214471	0
225	0.211143	0.00235569
235	0.213731	0
245	0.201899	0
255	0.195612	0.00235569
265	0.21669	0.00235569
275	0.212252	0.00235569
285	0.227783	0.00235569
295	0.218169	0
305	0.208555	0
315	0.221497	0
325	0.201529	0
335	0.210773	0
345	0.21669	0
355	0.204487	0
365	0.195243	0.00235569
375	0.202638	0.00471139
385	0.18267	0.00235569
395	0.184519	0.00235569
405	0.18304	0
415	0.162702	0.00235569
425	0.176384	0.00471139
435	0.161963	0
445	0.16603	0
455	0.151979	0
465	0.14939	0
475	0.153458	0.00235569
485	0.151609	0
495	0.132011	0.00235569
505	0.120178	0.00471139
515	0.126094	0.00235569
525	0.121657	0.00235569
535	0.118329	0
545	0.103168	0
555	0.101319	0
565	0.0939235	0.00235569
575	0.0891164	0.00235569
585	0.0780231	0
595	0.0868977	0
605	0.0687786	0.00235569
615	0.0676693	0.00235569
625	0.0643413	0.00471139
635	0.0569457	0.00235569
645	0.0495502	0.00471139
655	0.0451129	0
665	0.046592	0
675	0.0303218	0.00471139
685	0.0377173	0.00235569
695	0.0281031	0.00235569
705	0.0251449	0
715	0.0218169	0
725	0.0162702	0
735	0.01664	0.00471139
745	0.0147911	0.00235569
755	0.0122027	0.00235569
765	0.0110933	0
775	0.00961422	0.00471139
785	0.00739555	0.00235569
795	0.00369778	0.00235569
805	0.00591644	0
815	0.003328	0.00235569
825	0.000739555	0.00471139
835	0.00147911	0
845	0.00406755	0.00471139
855	0.00295822	0
865	0.00147911	0.00706708
875	0.00147911	0
885	0.00184889	0
895	0.000739555	0.00706708
905	0.00147911	0.00235569
915	0.00110933	0
925	0.00147911	0.00235569
935	0.000739555	0
945	0.000369778	0
955	0.00184889	0.00235569
965	0.000739555	0
975	0.00184889	0.00235569
985	0.000369778	0.00235569
995	0.00110933	0.00235569
1005	0.00221867	0
1015	0.00184889	0
1025	0.00184889	0
1035	0.000739555	0
1045	0.00110933	0
1055	0.00221867	0.00706708
1065	0.000369778	0
1075	0.000739555	0
1085	0.000739555	0.00235569
1095	0.000369778	0
1105	0.00147911	0
1115	0.000369778	0
1125	0.00110933	0
1135	0.000739555	0
1145	0.000739555	0
1155	0.00110933	0
1165	0.00184889	0
1175	0.000369778	0.00235569
1185	0.00147911	0.00235569
1195	0.000739555	0
