FG time = 1207	BG time = 185.317
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.0024855	0
135	0.004971	0
145	0	0
155	0.0024855	0
165	0.004971	0
175	0.004971	0
185	0.0057995	0
195	0.0107705	0
205	0.011599	0
215	0.008285	0
225	0.013256	0
235	0.0091135	0.00539617
245	0.0124275	0.00539617
255	0.013256	0
265	0.009942	0
275	0.0107705	0
285	0.011599	0.00539617
295	0.0107705	0
305	0.0107705	0
315	0.003314	0
325	0.014913	0
335	0.009942	0
345	0.0091135	0
355	0.009942	0
365	0.0157415	0
375	0.008285	0
385	0.0124275	0
395	0.0091135	0
405	0.004971	0
415	0.009942	0
425	0.0124275	0.00539617
435	0.0057995	0
445	0.0057995	0.00539617
455	0.006628	0
465	0.011599	0.00539617
475	0.009942	0
485	0.006628	0
495	0.0074565	0
505	0.006628	0
515	0.0057995	0
525	0.0057995	0
535	0.003314	0
545	0.0074565	0
555	0.0008285	0
565	0.008285	0
575	0.0024855	0
585	0.0041425	0
595	0.004971	0.0107923
605	0.0024855	0
615	0.0041425	0
625	0.0041425	0
635	0.0041425	0
645	0.001657	0
655	0.0008285	0
665	0.0041425	0
675	0	0
685	0	0
695	0	0
705	0.003314	0
715	0.001657	0.00539617
725	0.0008285	0
735	0	0
745	0.0008285	0
755	0	0
765	0	0
775	0.0008285	0
785	0.0008285	0
795	0	0
805	0.0008285	0
815	0.0008285	0
825	0	0
835	0.001657	0
845	0	0
855	0	0
865	0.0008285	0
875	0	0
885	0.0008285	0
895	0.0008285	0
905	0	0
915	0.0008285	0
925	0	0
935	0.001657	0
945	0	0.00539617
955	0	0
965	0.0008285	0
975	0.0008285	0
985	0.001657	0
995	0.0024855	0
1005	0.001657	0
1015	0.0008285	0
1025	0.001657	0
1035	0.001657	0.00539617
1045	0	0
1055	0.0008285	0
1065	0.001657	0
1075	0	0
1085	0.0008285	0
1095	0.0008285	0
1105	0.0008285	0
1115	0	0
1125	0.0008285	0
1135	0.0008285	0.00539617
1145	0	0.00539617
1155	0.0008285	0
1165	0	0
1175	0.0008285	0
1185	0	0
1195	0	0
