FG time = 2229	BG time = 483.026
5	0	0
15	0	0
25	0	0
35	0	0
45	0.0013459	0
55	0.0112158	0
65	0.0628085	0.00207028
75	0.100942	0.00621085
85	0.16061	0.0165623
95	0.201885	0.00828114
105	0.227905	0.00621085
115	0.236878	0.00414057
125	0.27546	0.00828114
135	0.289368	0.00621085
145	0.313145	0.00207028
155	0.321221	0.0124217
165	0.313594	0.00207028
175	0.330193	0.00621085
185	0.343652	0
195	0.341409	0.00207028
205	0.342306	0.00621085
215	0.353074	0.0103514
225	0.371916	0
235	0.369673	0.00207028
245	0.3607	0
255	0.339166	0.00207028
265	0.374608	0.00414057
275	0.356663	0.00207028
285	0.353522	0.00207028
295	0.356663	0.00207028
305	0.352176	0.00828114
315	0.349036	0
325	0.349933	0
335	0.342755	0
345	0.329745	0.00414057
355	0.312248	0
365	0.317632	0
375	0.328399	0.00207028
385	0.286676	0
395	0.294751	0
405	0.294303	0.00207028
415	0.286676	0.00207028
425	0.271871	0
435	0.253477	0
445	0.24271	0.00207028
455	0.253926	0.00207028
465	0.237775	0
475	0.234186	0.00414057
485	0.220727	0.00207028
495	0.2297	0
505	0.189323	0
515	0.202782	0.00207028
525	0.177658	0.00207028
535	0.172723	0
545	0.163751	0.00207028
555	0.143562	0.00207028
565	0.134141	0.00207028
575	0.138627	0.00207028
585	0.123823	0.00207028
595	0.125617	0.00414057
605	0.107672	0
615	0.0901751	0.00207028
625	0.091521	0.00414057
635	0.074473	0.00207028
645	0.0726784	0
655	0.069538	0
665	0.0628085	0
675	0.0614626	0.00207028
685	0.0489009	0
695	0.0381338	0.00207028
705	0.0363392	0.00414057
715	0.0367879	0.00207028
725	0.0251234	0
735	0.0242261	0.00414057
745	0.0251234	0
755	0.0165994	0
765	0.0103185	0
775	0.00986991	0.00207028
785	0.00762675	0
795	0.00628085	0.00207028
805	0.00403769	0
815	0.00314043	0
825	0.00224316	0.00414057
835	0.00672949	0.00414057
845	0.00314043	0
855	0.00179453	0
865	0.0013459	0
875	0.00224316	0.00414057
885	0.00403769	0.00414057
895	0.00224316	0
905	0.00403769	0
915	0.00179453	0
925	0.00269179	0.00207028
935	0.0013459	0.00414057
945	0.000448632	0.00414057
955	0.0013459	0.00207028
965	0.00314043	0
975	0.00224316	0
985	0.00179453	0
995	0.000448632	0
1005	0.000897265	0
1015	0.00179453	0.00414057
1025	0.0013459	0
1035	0.000897265	0
1045	0.00403769	0.00207028
1055	0.0013459	0.00207028
1065	0.0013459	0
1075	0.0013459	0
1085	0.000448632	0.00414057
1095	0.00314043	0.00207028
1105	0.00269179	0
1115	0.000448632	0.00207028
1125	0.00269179	0
1135	0.00179453	0
1145	0.00179453	0.00207028
1155	0.00179453	0.00207028
1165	0.0013459	0
1175	0.00224316	0
1185	0.000448632	0.00207028
1195	0.000448632	0
