FG time = 3612	BG time = 485.98
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000276855	0
55	0.00692138	0
65	0.0354374	0.0102885
75	0.0841639	0.0185193
85	0.134275	0.0185193
95	0.169435	0.0102885
105	0.189369	0.0164616
115	0.19103	0.0020577
125	0.217885	0.0144039
135	0.233389	0.0123462
145	0.248616	0.0123462
155	0.266058	0.00823079
165	0.263566	0.0020577
175	0.2835	0.0061731
185	0.280731	0.0041154
195	0.30371	0.0144039
205	0.279347	0.0041154
215	0.291528	0.0020577
225	0.297896	0.0041154
235	0.297619	0.0041154
245	0.307032	0.0061731
255	0.296512	0.0020577
265	0.321152	0.0020577
275	0.289867	0
285	0.314784	0.0020577
295	0.286268	0.0020577
305	0.293743	0
315	0.285438	0
325	0.28959	0
335	0.282392	0
345	0.277686	0.0061731
355	0.275194	0.0041154
365	0.266611	0
375	0.266335	0
385	0.260521	0.0020577
395	0.248062	0.0041154
405	0.24557	0
415	0.222315	0.0020577
425	0.241971	0
435	0.205426	0.00823079
445	0.222868	0
455	0.202935	0
465	0.20072	0
475	0.191307	0
485	0.187154	0.0041154
495	0.178018	0.0041154
505	0.169435	0.0020577
515	0.16113	0.0020577
525	0.157254	0.0020577
535	0.14258	0.0061731
545	0.14175	0.0061731
555	0.120986	0.0041154
565	0.120986	0.0041154
575	0.118217	0.0020577
585	0.111019	0.0020577
595	0.0949613	0.0020577
605	0.0869325	0
615	0.0830565	0.0020577
625	0.0838871	0.0061731
635	0.0689369	0.0020577
645	0.0661684	0.0041154
655	0.057309	0.0041154
665	0.0570321	0
675	0.0481728	0.0020577
685	0.0431894	0
695	0.036268	0.0061731
705	0.0329457	0.0020577
715	0.0282392	0.0041154
725	0.0254707	0.0020577
735	0.0185493	0.0061731
745	0.0155039	0.00823079
755	0.0149502	0.0020577
765	0.0116279	0.0020577
775	0.00996678	0.0041154
785	0.00858251	0.0020577
795	0.00968993	0
805	0.00442968	0
815	0.00775194	0
825	0.00581396	0.0020577
835	0.00359912	0.0061731
845	0.00526025	0.0041154
855	0.00415283	0
865	0.00415283	0.0041154
875	0.00498339	0.00823079
885	0.00276855	0.0061731
895	0.00359912	0.0061731
905	0.00276855	0.0061731
915	0.00304541	0.0041154
925	0.00304541	0.0041154
935	0.00387597	0.0123462
945	0.00387597	0.0041154
955	0.00359912	0.0061731
965	0.00332226	0
975	0.00415283	0.0041154
985	0.00442968	0
995	0.00304541	0
1005	0.00304541	0.0020577
1015	0.0024917	0
1025	0.00359912	0
1035	0.00166113	0
1045	0.00138428	0.0020577
1055	0.00166113	0.0041154
1065	0.00304541	0.0020577
1075	0.00193799	0.0041154
1085	0.00166113	0
1095	0.00304541	0
1105	0.00193799	0.0020577
1115	0.00304541	0.0061731
1125	0.00332226	0
1135	0.00221484	0.0020577
1145	0.0024917	0.0020577
1155	0.00276855	0.0041154
1165	0.00276855	0.0020577
1175	0.00193799	0.0041154
1185	0.00166113	0.0020577
1195	0.00415283	0.0041154
