FG time = 2838.4	BG time = 494.795
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000352311	0.00202104
55	0.00880776	0.00202104
65	0.0246617	0.00404208
75	0.0605974	0.0121262
85	0.087373	0.0101052
95	0.109216	0.00808416
105	0.128241	0.00808416
115	0.142333	0.00404208
125	0.132116	0.0121262
135	0.174746	0.00404208
145	0.161358	0.00404208
155	0.181792	0.00202104
165	0.187429	0.00808416
175	0.192714	0
185	0.197999	0.00202104
195	0.199408	0.00202104
205	0.190248	0.00202104
215	0.202931	0.00202104
225	0.202579	0.00404208
235	0.200465	0.00202104
245	0.20434	0
255	0.192009	0
265	0.205749	0.00202104
275	0.198351	0.00404208
285	0.206102	0.00202104
295	0.200465	0
305	0.205749	0.00202104
315	0.177212	0
325	0.204692	0.00404208
335	0.185315	0.00202104
345	0.164881	0
355	0.190248	0.00404208
365	0.177212	0
375	0.177212	0
385	0.174041	0.00202104
395	0.162767	0.00202104
405	0.166643	0.00202104
415	0.155369	0
425	0.171928	0
435	0.153255	0.00202104
445	0.142333	0.00202104
455	0.14339	0.00202104
465	0.130707	0.00202104
475	0.13106	0.00202104
485	0.119433	0.00606312
495	0.110273	0
505	0.120843	0.00404208
515	0.110273	0.00404208
525	0.0940669	0.00202104
535	0.101465	0.00202104
545	0.0870207	0.00404208
555	0.0887823	0.00404208
565	0.0768037	0.00202104
575	0.072576	0
585	0.0648251	0
595	0.0676436	0.00202104
605	0.0644728	0.00202104
615	0.0588359	0.00202104
625	0.0461527	0.00202104
635	0.0405157	0
645	0.0376972	0.00202104
655	0.0401634	0
665	0.031708	0.00202104
675	0.0295941	0.00202104
685	0.0313556	0.00202104
695	0.0281848	0.00808416
705	0.0218433	0.00202104
715	0.0214909	0.00202104
725	0.0162063	0.00404208
735	0.0169109	0.00606312
745	0.0112739	0.00606312
755	0.00704621	0
765	0.010217	0.00202104
775	0.00563697	0
785	0.00387542	0.00808416
795	0.00493235	0
805	0.00528466	0
815	0.00598928	0.00404208
825	0.00563697	0
835	0.00422773	0.00202104
845	0.00246617	0
855	0.00140924	0
865	0.00211386	0.00606312
875	0.0031708	0.00202104
885	0.00176155	0
895	0.000704621	0.00202104
905	0.00105693	0.00202104
915	0.00246617	0
925	0.00246617	0.00404208
935	0.000352311	0.00202104
945	0.000704621	0
955	0	0.00606312
965	0.00246617	0.00404208
975	0.00176155	0.00404208
985	0.0031708	0
995	0.00281848	0.00202104
1005	0.00105693	0.00404208
1015	0.00211386	0
1025	0.00105693	0.00202104
1035	0.00281848	0
1045	0.00176155	0
1055	0.00140924	0.00202104
1065	0.0031708	0
1075	0.0031708	0.00202104
1085	0.00140924	0
1095	0.000704621	0.00202104
1105	0.000352311	0.00202104
1115	0.00211386	0.00202104
1125	0.00140924	0
1135	0.00211386	0
1145	0.00211386	0.00404208
1155	0.00211386	0.00202104
1165	0.00387542	0
1175	0.00352311	0
1185	0.00140924	0.00202104
1195	0.00140924	0
