FG time = 3011.32	BG time = 614.135
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0.00033208	0
115	0.00033208	0
125	0	0
135	0.00099624	0
145	0.00099624	0
155	0.00033208	0
165	0.0016604	0
175	0.00066416	0.00162831
185	0.00265664	0
195	0.00199248	0
205	0.00597744	0
215	0.00365288	0
225	0.00199248	0
235	0.00298872	0.00162831
245	0.00630952	0
255	0.00431704	0
265	0.00431704	0
275	0.00597744	0
285	0.0033208	0
295	0.0033208	0
305	0.00298872	0.00162831
315	0.0049812	0.00162831
325	0.00298872	0.00162831
335	0.00298872	0
345	0.00464912	0.00162831
355	0.00531328	0.00325662
365	0.0066416	0.00162831
375	0.0066416	0.00162831
385	0.00398496	0
395	0.00298872	0.00325662
405	0.00464912	0
415	0.00431704	0.00325662
425	0.00630952	0
435	0.0049812	0
445	0.00298872	0
455	0.00431704	0.00162831
465	0.00398496	0.00162831
475	0.00464912	0.00162831
485	0.0033208	0
495	0.0066416	0.00162831
505	0.00431704	0
515	0.0033208	0
525	0.0033208	0
535	0.00298872	0
545	0.0016604	0
555	0.00232456	0.00162831
565	0.00232456	0
575	0.0033208	0.00162831
585	0.00033208	0
595	0.00298872	0
605	0.0033208	0.00162831
615	0	0
625	0.00232456	0
635	0.00265664	0.00325662
645	0.00232456	0
655	0.0016604	0
665	0.00265664	0.00162831
675	0.00132832	0
685	0.00199248	0
695	0.0016604	0.00325662
705	0	0
715	0.00132832	0
725	0.00066416	0
735	0.00132832	0.00162831
745	0.00066416	0.00325662
755	0.00033208	0
765	0.00066416	0
775	0.00066416	0.00162831
785	0.00066416	0
795	0.00066416	0
805	0.00099624	0.00162831
815	0	0
825	0.00033208	0
835	0.00199248	0
845	0	0
855	0.00066416	0.00162831
865	0.00099624	0.00162831
875	0.00066416	0
885	0.00033208	0.00325662
895	0.00099624	0
905	0.00033208	0
915	0.00132832	0.00325662
925	0.00033208	0
935	0.00099624	0.00162831
945	0	0
955	0.00066416	0
965	0.00132832	0.00162831
975	0.00033208	0
985	0.00099624	0
995	0	0
1005	0.00033208	0
1015	0.00099624	0.00325662
1025	0.00099624	0
1035	0.00099624	0.00162831
1045	0.00066416	0
1055	0.00066416	0.00162831
1065	0.00132832	0
1075	0.00066416	0
1085	0.00033208	0
1095	0.00232456	0.00162831
1105	0.00066416	0
1115	0.00099624	0.00162831
1125	0.00033208	0.00162831
1135	0.00066416	0
1145	0.00132832	0.00162831
1155	0.00132832	0
1165	0.00066416	0.00162831
1175	0.00099624	0
1185	0.00066416	0.00325662
1195	0.00099624	0
