FG time = 3004.84	BG time = 484.731
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000998391	0
55	0.0103167	0
65	0.0772089	0.004126
75	0.161739	0.012378
85	0.226302	0.004126
95	0.24394	0.008252
105	0.27489	0.008252
115	0.260247	0.002063
125	0.287869	0
135	0.306839	0
145	0.315824	0.002063
155	0.307837	0.002063
165	0.329469	0.002063
175	0.349437	0.002063
185	0.352765	0.002063
195	0.340451	0.002063
205	0.344778	0
215	0.367408	0.002063
225	0.336125	0.002063
235	0.36408	0.002063
245	0.34511	0.002063
255	0.357424	0.010315
265	0.368739	0
275	0.341782	0.002063
285	0.371401	0.004126
295	0.3724	0.002063
305	0.355094	0.002063
315	0.342781	0
325	0.344112	0.002063
335	0.326141	0.002063
345	0.324477	0.006189
355	0.316157	0.004126
365	0.327805	0
375	0.319485	0
385	0.325808	0
395	0.299517	0
405	0.282212	0
415	0.284541	0
425	0.295524	0
435	0.271229	0
445	0.271562	0
455	0.272561	0
465	0.249598	0
475	0.237617	0
485	0.220977	0
495	0.226967	0.002063
505	0.200344	0
515	0.19036	0
525	0.186699	0.002063
535	0.186699	0
545	0.16307	0.002063
555	0.169061	0
565	0.155083	0.002063
575	0.141439	0
585	0.124799	0.002063
595	0.113817	0
605	0.115481	0
615	0.101503	0.002063
625	0.0955127	0
635	0.0795384	0
645	0.0788729	0
655	0.0685562	0
665	0.0575739	0
675	0.0635642	0.002063
685	0.0479227	0
695	0.0445948	0.004126
705	0.0402684	0.002063
715	0.0292861	0
725	0.022963	0
735	0.022963	0.002063
745	0.0209662	0.002063
755	0.0199678	0.004126
765	0.0113151	0
775	0.00665594	0.004126
785	0.00798712	0
795	0.00698873	0
805	0.00432636	0
815	0.00366077	0
825	0.00199678	0.002063
835	0.00399356	0.002063
845	0.00399356	0.002063
855	0.000998391	0
865	0.000332797	0.002063
875	0.000665594	0
885	0.000332797	0.002063
895	0.000332797	0
905	0.00166398	0
915	0.00266237	0
925	0.000332797	0
935	0.000665594	0.002063
945	0.000665594	0.002063
955	0.00133119	0
965	0.000998391	0
975	0.000665594	0
985	0.000665594	0.002063
995	0.00232958	0
1005	0.000665594	0
1015	0.00166398	0
1025	0.000998391	0
1035	0.000998391	0
1045	0.000665594	0.002063
1055	0.000665594	0.002063
1065	0.000998391	0
1075	0.00266237	0
1085	0	0
1095	0.000332797	0
1105	0.000665594	0
1115	0	0
1125	0.00166398	0
1135	0	0
1145	0.000665594	0
1155	0.000665594	0
1165	0.000332797	0.002063
1175	0.00133119	0
1185	0.000998391	0
1195	0.000332797	0
