FG time = 3604.3	BG time = 485
5	0	0
15	0	0
25	0	0
35	0.00166468	0
45	0.010543	0
55	0.0319063	0.00618557
65	0.0535471	0.00824743
75	0.0901701	0
85	0.109591	0.00824743
95	0.124573	0.00412371
105	0.162306	0.00412371
115	0.180618	0.00412371
125	0.202536	0.00206186
135	0.216686	0.00618557
145	0.224454	0
155	0.239436	0.00206186
165	0.266903	0.00206186
175	0.274117	0.00412371
185	0.277724	0.00412371
195	0.28688	0.00206186
205	0.300474	0
215	0.312127	0
225	0.326277	0
235	0.295758	0.00206186
245	0.318231	0.00206186
255	0.325167	0.00206186
265	0.305468	0.00206186
275	0.318231	0
285	0.322115	0.00206186
295	0.311295	0.00206186
305	0.310462	0
315	0.325167	0.00206186
325	0.323225	0
335	0.316566	0
345	0.312959	0.00206186
355	0.317676	0
365	0.304914	0
375	0.300474	0
385	0.283273	0
395	0.292151	0
405	0.280776	0.00412371
415	0.28688	0
425	0.283828	0
435	0.269123	0
445	0.259967	0
455	0.251089	0
465	0.253309	0
475	0.246372	0
485	0.242488	0
495	0.232223	0
505	0.220847	0.00412371
515	0.20753	0
525	0.206143	0
535	0.187276	0.00412371
545	0.174236	0
555	0.171739	0
565	0.177566	0
575	0.154815	0.00412371
585	0.132064	0.00206186
595	0.131232	0.00206186
605	0.117637	0
615	0.10543	0
625	0.108759	0.00206186
635	0.0973837	0
645	0.095719	0
655	0.0837888	0
665	0.085176	0.00206186
675	0.0760203	0
685	0.0563216	0
695	0.0552118	0.00206186
705	0.0432816	0.00206186
715	0.0474433	0
725	0.0391199	0
735	0.0316289	0.00206186
745	0.0269123	0.00206186
755	0.0255251	0.00206186
765	0.0177566	0
775	0.0174791	0.00206186
785	0.010543	0
795	0.0147047	0.00206186
805	0.00860084	0
815	0.00471659	0
825	0.00610382	0
835	0.00388425	0.00206186
845	0.000554893	0.00206186
855	0.00332936	0
865	0.00221957	0
875	0.00194212	0
885	0.00194212	0
895	0.000554893	0.00206186
905	0.00138723	0
915	0.000832339	0
925	0.00138723	0.00206186
935	0.000554893	0.00206186
945	0.000554893	0.00412371
955	0.000832339	0
965	0.000832339	0
975	0.000554893	0
985	0.000277446	0
995	0.000554893	0
1005	0.000277446	0.00206186
1015	0.000277446	0.00206186
1025	0.00110979	0
1035	0.000554893	0
1045	0.00110979	0
1055	0.000277446	0
1065	0.00110979	0
1075	0.00110979	0
1085	0.00110979	0
1095	0.000277446	0
1105	0.000554893	0
1115	0	0
1125	0.000554893	0
1135	0.000554893	0
1145	0.000832339	0
1155	0.000277446	0
1165	0.000554893	0
1175	0.000554893	0
1185	0.00138723	0
1195	0.000832339	0
