FG time = 3605	BG time = 505.405
5	0	0
15	0	0
25	0	0
35	0.00305132	0
45	0.0330097	0.00593583
55	0.0823855	0.00197861
65	0.142302	0.00989305
75	0.172261	0.00593583
85	0.208876	0.00197861
95	0.24355	0.00395722
105	0.257143	0.00989305
115	0.285714	0.00989305
125	0.306796	0.00989305
135	0.312899	0
145	0.310125	0.00197861
155	0.342857	0.00395722
165	0.371151	0.00593583
175	0.36172	0.00197861
185	0.362274	0.00197861
195	0.386407	0.00791444
205	0.38086	0
215	0.393897	0
225	0.400832	0
235	0.385575	0.00395722
245	0.393342	0.00593583
255	0.41165	0
265	0.409154	0.00197861
275	0.454369	0
285	0.426352	0.00197861
295	0.400554	0.00395722
305	0.390846	0.00197861
315	0.41803	0.00197861
325	0.390568	0.00197861
335	0.387794	0.00395722
345	0.374757	0
355	0.37975	0.00197861
365	0.367267	0.00593583
375	0.360333	0.00197861
385	0.368654	0.00593583
395	0.344521	0
405	0.344244	0.00197861
415	0.325936	0.00197861
425	0.3276	0
435	0.310957	0.00791444
445	0.313453	0
455	0.306518	0.00197861
465	0.284604	0.00197861
475	0.271844	0
485	0.27018	0
495	0.269625	0
505	0.247157	0.00197861
515	0.23079	0
525	0.228294	0
535	0.214147	0.00791444
545	0.207767	0.00395722
555	0.188072	0.00197861
565	0.172538	0.00395722
575	0.179195	0
585	0.158391	0
595	0.162552	0
605	0.140361	0.00197861
615	0.130929	0
625	0.116782	0.00593583
635	0.11595	0
645	0.102358	0.00197861
655	0.0932038	0
665	0.0854368	0
675	0.0790568	0.00197861
685	0.0754507	0
695	0.064355	0.00197861
705	0.0560332	0
715	0.0552011	0.00197861
725	0.0435506	0.00197861
735	0.028294	0.00197861
745	0.0313453	0.00197861
755	0.0199722	0
765	0.0171983	0.00197861
775	0.0135922	0.00395722
785	0.015534	0
795	0.0144244	0
805	0.00693481	0.00197861
815	0.00776698	0
825	0.00887655	0.00197861
835	0.00443828	0.00197861
845	0.00332871	0.00395722
855	0.00443828	0.00197861
865	0.00332871	0.00197861
875	0.00305132	0.00197861
885	0.00138696	0.00395722
895	0.00332871	0
905	0.00332871	0.00197861
915	0.00332871	0
925	0.00221914	0
935	0.00221914	0.00395722
945	0.00138696	0.00197861
955	0.000554785	0.00197861
965	0.00249653	0
975	0.00138696	0.00395722
985	0.00305132	0
995	0.00277392	0
1005	0.000832177	0.00593583
1015	0.00277392	0.00197861
1025	0.000554785	0
1035	0.00249653	0.00197861
1045	0.00194175	0.00197861
1055	0.00166435	0.00197861
1065	0.00221914	0.00395722
1075	0.00305132	0
1085	0.00194175	0.00395722
1095	0.00305132	0
1105	0.000832177	0.00197861
1115	0.00194175	0.00197861
1125	0.00194175	0.00197861
1135	0.00277392	0.00197861
1145	0.00138696	0.00395722
1155	0.00194175	0
1165	0.00249653	0
1175	0.00138696	0
1185	0.00221914	0.00197861
1195	0.000832177	0.00395722
