FG time = 3604.84	BG time = 485.276
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0.000277405	0
125	0	0
135	0.000277405	0
145	0.000832215	0
155	0.00055481	0
165	0.00110962	0
175	0.00138702	0
185	0.00138702	0.00206068
195	0.000832215	0
205	0.00221924	0
215	0.00110962	0
225	0.00249664	0
235	0.00249664	0
245	0.00416107	0
255	0.00332886	0
265	0.00332886	0
275	0.00249664	0
285	0.00388367	0
295	0.00416107	0
305	0.00471588	0.00206068
315	0.00527069	0.00206068
325	0.00332886	0
335	0.00471588	0
345	0.00527069	0
355	0.00748993	0.00206068
365	0.00665772	0
375	0.00638031	0
385	0.0055481	0
395	0.00859955	0.00206068
405	0.00610291	0
415	0.00859955	0.00206068
425	0.00416107	0
435	0.00416107	0
445	0.00471588	0
455	0.00443848	0
465	0.00693512	0
475	0.0055481	0
485	0.00499329	0
495	0.00360626	0
505	0.00471588	0
515	0.00305145	0
525	0.00305145	0.00206068
535	0.00499329	0
545	0.00277405	0
555	0.00249664	0
565	0.00471588	0
575	0.00305145	0
585	0.00360626	0
595	0.00360626	0
605	0.00360626	0
615	0.00221924	0
625	0.00332886	0
635	0.00388367	0
645	0.00138702	0
655	0.00110962	0
665	0.00249664	0
675	0.00221924	0
685	0.00194183	0
695	0.00166443	0
705	0.00138702	0
715	0.00110962	0.00206068
725	0.000832215	0
735	0.000832215	0
745	0.00138702	0
755	0.00055481	0
765	0.000832215	0.00206068
775	0.000832215	0.00206068
785	0.00055481	0
795	0.00055481	0
805	0.000832215	0
815	0.000277405	0
825	0.000832215	0
835	0.000832215	0
845	0.00055481	0
855	0.000277405	0
865	0	0
875	0.00110962	0
885	0.000832215	0
895	0	0
905	0.000277405	0
915	0.00110962	0
925	0.00110962	0
935	0.000832215	0.00206068
945	0.00055481	0.00206068
955	0.00110962	0
965	0.00055481	0
975	0.00138702	0.00206068
985	0.00055481	0
995	0	0
1005	0.000277405	0
1015	0.000832215	0
1025	0.00055481	0
1035	0.000832215	0.00412136
1045	0.00138702	0
1055	0.000277405	0.00206068
1065	0.00055481	0.00206068
1075	0.00055481	0
1085	0.00055481	0
1095	0.000832215	0.00206068
1105	0	0.00206068
1115	0.00110962	0.00206068
1125	0.00055481	0
1135	0.000277405	0.00206068
1145	0.000277405	0
1155	0.000832215	0.00206068
1165	0.00110962	0
1175	0.00110962	0
1185	0.00055481	0
1195	0.000277405	0
