FG time = 1635.92	BG time = 313.863
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.00305638	0
135	0.00489021	0.00318611
145	0.00855787	0
155	0.00733531	0
165	0.00550149	0
175	0.00427893	0
185	0.00550149	0
195	0.00794659	0.00318611
205	0.0103917	0.00318611
215	0.00489021	0
225	0.00855787	0
235	0.00550149	0
245	0.00550149	0
255	0.00855787	0
265	0.00427893	0
275	0.00611276	0
285	0.00366766	0
295	0.00427893	0
305	0.00183383	0
315	0.00183383	0
325	0.00183383	0.00318611
335	0.000611276	0
345	0.0024451	0.00318611
355	0.00305638	0
365	0.00366766	0
375	0.00427893	0
385	0.00183383	0
395	0.00183383	0
405	0.00183383	0
415	0.00183383	0
425	0.00183383	0.00318611
435	0.00183383	0
445	0.00183383	0
455	0.00122255	0
465	0	0
475	0	0
485	0.000611276	0
495	0.00122255	0
505	0.000611276	0
515	0.00122255	0
525	0	0
535	0	0
545	0.00183383	0
555	0.00122255	0
565	0.000611276	0
575	0.0024451	0
585	0	0.00318611
595	0.00305638	0
605	0.000611276	0
615	0.000611276	0
625	0	0
635	0.000611276	0
645	0	0
655	0.000611276	0
665	0	0
675	0.000611276	0
685	0.000611276	0
695	0	0
705	0.000611276	0
715	0	0
725	0	0
735	0.00122255	0.00318611
745	0	0
755	0	0
765	0.000611276	0
775	0	0
785	0	0
795	0.000611276	0
805	0	0
815	0	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0.000611276	0
875	0	0
885	0.000611276	0
895	0	0.00318611
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0.00318611
965	0	0
975	0	0
985	0.000611276	0
995	0	0
1005	0.000611276	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0.000611276	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
