FG time = 3319	BG time = 494.161
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0.00421814	0.00202363
65	0.0129557	0.00404726
75	0.0195842	0.00607089
85	0.0250075	0.00809452
95	0.0325399	0.00809452
105	0.029527	0.00607089
115	0.0415788	0.00404726
125	0.0394697	0.00607089
135	0.0460982	0.00202363
145	0.0497138	0.00202363
155	0.047906	0.00404726
165	0.0485086	0.00404726
175	0.0521241	0
185	0.0578487	0.00202363
195	0.0554384	0
205	0.0584513	0.00404726
215	0.0536306	0
225	0.0605604	0
235	0.0545345	0.00202363
245	0.0584513	0.00202363
255	0.0506177	0
265	0.0620669	0
275	0.0626695	0
285	0.0578487	0
295	0.0578487	0.00202363
305	0.0602591	0
315	0.0566436	0
325	0.0545345	0.00202363
335	0.0554384	0
345	0.0551371	0.00202363
355	0.0539319	0.00202363
365	0.0554384	0
375	0.0491112	0
385	0.0524254	0.00202363
395	0.0467008	0.00404726
405	0.042784	0.00202363
415	0.0557397	0
425	0.0563423	0
435	0.042784	0
445	0.0460982	0.00404726
455	0.0409762	0
465	0.0382645	0
475	0.0373606	0.00202363
485	0.0379632	0
495	0.0361555	0.00404726
505	0.0298283	0.00202363
515	0.0325399	0
525	0.026514	0.00202363
535	0.0307321	0
545	0.0250075	0
555	0.0268153	0
565	0.0256101	0
575	0.0210907	0
585	0.0201868	0.00202363
595	0.0222959	0
605	0.0159687	0
615	0.0153661	0
625	0.0180777	0
635	0.0144622	0.00202363
645	0.0117505	0.00202363
655	0.00903887	0
665	0.00903887	0
675	0.00873757	0.00404726
685	0.00903887	0.00202363
695	0.00753239	0.00202363
705	0.00843628	0
715	0.00783368	0
725	0.00301296	0
735	0.00331425	0
745	0.00361555	0
755	0.00301296	0
765	0.00331425	0.00202363
775	0.00241036	0.00404726
785	0.00180777	0
795	0.00150648	0.00202363
805	0.00150648	0
815	0.00150648	0
825	0.000903887	0
835	0.000602591	0.00202363
845	0.000301296	0
855	0.000301296	0.00202363
865	0	0
875	0.000602591	0
885	0	0
895	0.000602591	0
905	0	0
915	0.000301296	0
925	0.000301296	0
935	0.000602591	0.00202363
945	0.000301296	0
955	0	0
965	0.000602591	0.00404726
975	0	0
985	0.000301296	0.00202363
995	0.000301296	0.00202363
1005	0.000602591	0
1015	0.000301296	0.00202363
1025	0.000602591	0.00202363
1035	0.000301296	0
1045	0.000301296	0.00202363
1055	0.000301296	0
1065	0.000602591	0.00202363
1075	0	0
1085	0.000301296	0
1095	0	0.00404726
1105	0.000301296	0
1115	0.000301296	0
1125	0.000301296	0
1135	0	0
1145	0.000301296	0
1155	0	0.00404726
1165	0.000301296	0.00202363
1175	0.000301296	0
1185	0	0
1195	0.000602591	0
