FG time = 2593.11	BG time = 493.527
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000771274	0
55	0.00539892	0
65	0.0354786	0.00405246
75	0.0952524	0.0121574
85	0.124561	0.0202623
95	0.126875	0.00810492
105	0.130345	0.00405246
115	0.131117	0.00810492
125	0.150013	0.0101311
135	0.155412	0.00607869
145	0.15464	0.00405246
155	0.171994	0.00810492
165	0.176622	0.00810492
175	0.168909	0.00405246
185	0.16968	0.00202623
195	0.172765	0.00810492
205	0.185877	0.00810492
215	0.168523	0.00607869
225	0.180093	0
235	0.161196	0.00405246
245	0.183949	0.00607869
255	0.176622	0
265	0.165438	0.00202623
275	0.183563	0.00202623
285	0.171609	0.00810492
295	0.179707	0.00405246
305	0.153869	0
315	0.171223	0.00810492
325	0.157726	0.00405246
335	0.150398	0.00405246
345	0.145385	0.00810492
355	0.146542	0.00202623
365	0.145	0
375	0.145385	0.00607869
385	0.147699	0.00202623
395	0.153869	0.00405246
405	0.132659	0
415	0.126489	0.00202623
425	0.118005	0.00405246
435	0.133816	0
445	0.130345	0.00202623
455	0.106436	0.00607869
465	0.10605	0.00202623
475	0.113377	0.00810492
485	0.0964093	0.00607869
495	0.106436	0.00405246
505	0.0948667	0
515	0.0863827	0.00405246
525	0.0794412	0.00202623
535	0.095638	0.00202623
545	0.069029	0.00202623
555	0.0590025	0.00607869
565	0.0740423	0.00405246
575	0.064787	0.00202623
585	0.0493616	0
595	0.0674865	0.0101311
605	0.0474334	0.00202623
615	0.039335	0.00202623
625	0.0431914	0.00810492
635	0.0381781	0.00405246
645	0.0331648	0.00405246
655	0.030851	0.00405246
665	0.0327792	0.00202623
675	0.0242951	0
685	0.0235239	0.00405246
695	0.0181249	0.00202623
705	0.0150398	0
715	0.0123404	0.00202623
725	0.00964093	0.00202623
735	0.0107978	0
745	0.00848402	0.00405246
755	0.00771274	0
765	0.00655583	0.00607869
775	0.00694147	0.00405246
785	0.00269946	0
795	0.00115691	0.00405246
805	0.00385637	0.00202623
815	0.00115691	0.00405246
825	0.00269946	0.00202623
835	0.00231382	0
845	0.00231382	0.00202623
855	0.0030851	0.00202623
865	0.00192819	0.00202623
875	0.00231382	0.00202623
885	0.000771274	0.00202623
895	0.00192819	0
905	0.00269946	0
915	0.00347073	0
925	0.00154255	0.00202623
935	0.0030851	0.00405246
945	0.00192819	0.00202623
955	0.0030851	0.00607869
965	0.00154255	0.00607869
975	0.00231382	0
985	0.00424201	0.00202623
995	0.00347073	0.00405246
1005	0.000771274	0.00202623
1015	0.00115691	0.00405246
1025	0.00154255	0.00202623
1035	0.000771274	0
1045	0.000771274	0
1055	0.00154255	0
1065	0.000771274	0
1075	0.00231382	0
1085	0.0030851	0
1095	0.00115691	0
1105	0.0030851	0
1115	0.00115691	0
1125	0.00192819	0.00810492
1135	0	0
1145	0.00192819	0.00202623
1155	0.000385637	0
1165	0.00231382	0.00202623
1175	0.00269946	0.00202623
1185	0.00154255	0
1195	0.0030851	0
