FG time = 3319.76	BG time = 735
5	0	0
15	0	0
25	0	0
35	0.000602453	0
45	0.000301227	0.00136055
55	0.00994048	0.00272109
65	0.0259055	0.00816327
75	0.0548233	0.00680273
85	0.0747042	0.0108844
95	0.0840422	0.0108844
105	0.096995	0.00952382
115	0.109044	0.0108844
125	0.113562	0.0122449
135	0.117177	0.00816327
145	0.12772	0.0108844
155	0.11537	0.00544218
165	0.134347	0.00272109
175	0.126515	0.00680273
185	0.140372	0.00952382
195	0.141275	0.00952382
205	0.13495	0.00544218
215	0.150011	0.00408164
225	0.134648	0
235	0.140372	0.00952382
245	0.146095	0.00816327
255	0.146396	0.00272109
265	0.143986	0.00408164
275	0.12772	0.00544218
285	0.140372	0.00544218
295	0.148505	0.00544218
305	0.129226	0.00408164
315	0.143083	0.00272109
325	0.127419	0.00272109
335	0.122599	0.00136055
345	0.125913	0.00544218
355	0.135853	0.00272109
365	0.137661	0.00816327
375	0.115972	0.00408164
385	0.119587	0.00272109
395	0.123804	0.00408164
405	0.107237	0.00136055
415	0.10061	0
425	0.103321	0.00136055
435	0.106032	0.00136055
445	0.0924766	0.00544218
455	0.0972962	0.00136055
465	0.0888619	0.00272109
475	0.0882594	0.00136055
485	0.0834398	0.00544218
495	0.0756079	0.00136055
505	0.0753067	0.00272109
515	0.0692821	0.00408164
525	0.0759091	0.00408164
535	0.0644625	0.00272109
545	0.0572331	0.00136055
555	0.0536183	0.00272109
565	0.0533171	0
575	0.0442803	0.00408164
585	0.0445815	0.00136055
595	0.0406656	0.00272109
605	0.0391595	0.00544218
615	0.0337374	0.00408164
625	0.0421717	0.00408164
635	0.0304239	0.00272109
645	0.0262067	0.00544218
655	0.0268092	0.00272109
665	0.0256043	0
675	0.0207846	0.00544218
685	0.0138564	0
695	0.0144589	0.00136055
705	0.0153626	0.00136055
715	0.0126515	0.00136055
725	0.00994048	0.00408164
735	0.0090368	0.00272109
745	0.00692821	0
755	0.00753067	0.00136055
765	0.00632576	0.00408164
775	0.00722944	0.00272109
785	0.00421717	0
795	0.00210859	0.00136055
805	0.00271104	0.00272109
815	0.00271104	0.00272109
825	0.00240981	0.00136055
835	0.00331349	0.00272109
845	0.00391595	0.00544218
855	0.00240981	0.00408164
865	0.00301227	0.00272109
875	0.00210859	0.00136055
885	0.00180736	0.00272109
895	0.00210859	0.00544218
905	0.00210859	0.00136055
915	0.00391595	0.00136055
925	0.00421717	0.00272109
935	0.00331349	0.00408164
945	0.00301227	0.00816327
955	0.00331349	0.00136055
965	0.00301227	0.00136055
975	0.00271104	0.00272109
985	0.00180736	0.00408164
995	0.00180736	0.00816327
1005	0.00150613	0.00408164
1015	0.00301227	0.00408164
1025	0.00240981	0.00408164
1035	0.00240981	0
1045	0.00150613	0.00272109
1055	0.00331349	0.00272109
1065	0.00150613	0.00136055
1075	0.00150613	0.00272109
1085	0.00240981	0.00544218
1095	0.00210859	0.00272109
1105	0.000602453	0.00136055
1115	0.00361472	0.00272109
1125	0.00150613	0.00544218
1135	0.00271104	0.00408164
1145	0.00120491	0.00272109
1155	0.00180736	0.00136055
1165	0.00120491	0.00408164
1175	0.00210859	0.00408164
1185	0.00271104	0.00272109
1195	0.00090368	0.00272109
