oct	Asymm	Error	Pull
0	-0.03821	0.0317703	-0.679773
1	0.0139353	0.0391882	0.779539
2	-0.0256869	0.0371822	-0.244027
3	-0.0607997	0.0485485	-0.910147
4	0.0273633	0.0679926	0.646787
5	-0.0142957	0.0231584	0.100081
6	-0.00451484	0.0288185	0.41982
8	0.00697674	0.029298	0.80518
10	0.00928057	0.0309114	0.837684
11	-0.0504731	0.0322906	-1.04859
12	-0.0598129	0.0298357	-1.44791
13	0.0438514	0.0300339	2.01322
14	-0.0180543	0.0301239	-0.0478318
15	-0.00224044	0.0252425	0.569396
16	-0.0347176	0.0253123	-0.715232
17	-0.0205274	0.0281177	-0.1392
18	0.00735255	0.0248595	0.964057
19	-0.0421641	0.0261781	-0.976033
20	-0.00564763	0.0241982	0.453166
21	-0.0249664	0.0261302	-0.319668
22	-0.0524048	0.024416	-1.4659
23	-0.00853391	0.0591165	0.136671
24	-0.00895263	0.0244591	0.313208
25	-0.0179344	0.0262308	-0.0503599
26	0.00330878	0.0241628	0.824499
27	-0.0251306	0.0250048	-0.340622
28	-0.0123829	0.0558784	0.0757094
29	-0.0219089	0.0249686	-0.212086
30	-0.0511972	0.0303496	-1.13951
31	-0.0295468	0.0251365	-0.514526
32	-0.00038209	0.0204683	0.792998
33	-0.0275328	0.0221085	-0.4939
34	-0.0264378	0.0207653	-0.473115
35	-0.00419809	0.020702	0.599716
36	-0.0235564	0.0204799	-0.339014
37	-0.018141	0.0212628	-0.0718428
38	-0.012186	0.0216264	0.204723
39	0.025814	0.0302455	1.40277
40	0.0127906	0.0218979	1.34278
41	-0.0386703	0.0264574	-0.833675
42	-0.0132817	0.0219928	0.151491
43	-0.00628275	0.0216414	0.477357
44	-0.0395031	0.0212355	-1.0779
45	-0.0173134	0.0227217	-0.0308066
46	-0.00127504	0.0263675	0.581715
47	0.00704984	0.0283137	0.835753
48	-0.0270782	0.0280557	-0.373
49	-0.0259575	0.0265192	-0.352351
50	-0.0228112	0.0370174	-0.167429
51	-0.0375875	0.0371326	-0.564843
52	-0.034299	0.0256772	-0.688766
53	-0.026501	0.025519	-0.38746
54	0.0171251	0.0280456	1.20299
55	-0.000654435	0.0275993	0.578239
56	-0.00790882	0.0273839	0.317873
57	-0.0234306	0.0291732	-0.23368
58	-0.0468166	0.0267226	-1.13025
