oct	Asymm	Error	Pull
0	0.0467491	0.00181929	-0.960369
1	0.052121	0.00183141	1.97919
2	0.0504539	0.00188915	1.03624
3	0.0506126	0.00222503	0.951138
4	0.0503659	0.00249171	0.750332
5	0.0487797	0.00152541	0.185792
6	0.0460111	0.00153224	-1.62193
8	0.0486261	0.00166312	0.0780519
10	0.0497431	0.00169345	0.736254
11	0.0471629	0.00171224	-0.77874
12	0.0479991	0.00169215	-0.293822
13	0.0515423	0.00162921	1.86962
14	0.0469085	0.00160597	-0.98868
15	0.0469924	0.00141256	-1.06466
16	0.0483304	0.00145308	-0.114165
17	0.0480019	0.00148783	-0.332289
18	0.0483622	0.0014726	-0.0910568
19	0.0512089	0.00148756	1.82353
20	0.0494293	0.00142987	0.652514
21	0.0485744	0.0014371	0.0543523
22	0.0480952	0.00142667	-0.281137
23	0.0458036	0.00233503	-1.15317
24	0.0487133	0.0014272	0.152053
25	0.0463249	0.00149931	-1.44826
26	0.049399	0.00142499	0.633485
27	0.0515478	0.00148524	2.05456
28	0.0489027	0.00216346	0.187852
29	0.0452901	0.00142219	-2.2544
30	0.0501222	0.00172151	0.944467
31	0.0472195	0.00148136	-0.861904
32	0.0492121	0.00123702	0.578657
33	0.0493871	0.0012898	0.690657
34	0.0485947	0.00127264	0.0773272
35	0.0498142	0.00127181	1.03625
36	0.0481602	0.00125029	-0.26881
37	0.0486413	0.00124842	0.116155
38	0.0475139	0.0012942	-0.759071
39	0.0482207	0.00165537	-0.166483
40	0.0500978	0.00127395	1.25712
41	0.0464406	0.00145504	-1.41281
42	0.0487151	0.00128756	0.169941
43	0.0470579	0.00130653	-1.10092
44	0.0470414	0.00128179	-1.13505
45	0.0482095	0.0013193	-0.217381
46	0.0497893	0.0014511	0.891055
47	0.047311	0.00149349	-0.793638
48	0.0486014	0.0014527	0.0723547
49	0.0484091	0.00146574	-0.0594855
50	0.0497568	0.00174627	0.72183
51	0.0479764	0.00172375	-0.301604
52	0.047684	0.00140592	-0.577764
53	0.0508873	0.00144196	1.65817
54	0.047188	0.00146731	-0.891625
55	0.0463171	0.0015131	-1.44022
56	0.0504793	0.00146912	1.34979
57	0.0486763	0.00145164	0.124004
58	0.0475071	0.00145764	-0.678625
