Nhist   Emin   Emax   EQType0E    meanErr   EQType0W    meanErr   EQType1E    meanErr   EQType1W    meanErr   EQType2E    meanErr   EQType2W    meanErr   EQType3E    meanErr   EQType3W    meanErr   EQType23E    meanErr   EQType23W    meanErr
    0      0     10          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0          0           0          0
    1     10     20          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0          0           0          0
    2     20     30    3.33333   0.680414        2.5          0          0          0          0          0          0          0          0          0          0          0          0          0           0          0           0          0
    3     30     40    3.54167   0.461949          5   0.883883          0          0          0          0          0          0          0          0          0          0          0          0           0          0           0          0
    4     40     50    9.30425   0.102203    9.47464   0.105848          0          0          0          0          0          0          0          0          0          0          0          0           0          0           0          0
    5     50     60    15.7354  0.0386857     15.771  0.0385648          0          0          0          0          0          0         15          0          0          0          0          0           0          0          15          0
    6     60     70    24.0969   0.031129     24.055  0.0310599          0          0          0          0    15.6818    1.24392    11.5541    1.22128        7.5    1.76777         10    3.53553     15.3947     1.2183     11.4375    1.16219
    7     70     80    33.3061  0.0306248    33.3343  0.0306557          0          0          0          0    19.1939   0.502339    18.3086   0.550617    15.3947    1.77766    12.6786    2.13487     19.0429     0.4887     18.1205   0.539248
    8     80     90     42.569  0.0317816    42.6458  0.0316841          0          0          0          0    23.1945    0.34741    23.2239   0.363407    13.0892   0.859619    13.4049   0.966823     22.1589    0.33334     22.1541   0.349582
    9     90    100    51.7299  0.0331574    51.7923  0.0331185    24.5833    1.72217    21.6304    1.63845     28.364   0.303296    27.5139   0.301151    14.6193   0.445606    14.0671   0.418358     25.4368   0.274292     24.7896   0.271067
   10    100    110    60.9989  0.0346204    61.0358  0.0345664    29.7981   0.983295    29.5034     1.1141    32.8129   0.274476    32.3924    0.28034    17.2392    0.30419    16.9831   0.307276     28.5537   0.233938     28.0142     0.2367
   11    110    120    70.5298  0.0360799    70.5317  0.0361278    37.1456   0.656311    36.2299   0.642024    37.5558   0.269196    37.5963   0.264935    20.7423   0.261687    20.6543   0.265052     31.9754   0.216734     32.2326   0.216087
   12    120    130    80.0394  0.0374952    79.9675  0.0375443     44.714   0.465062    44.6025   0.460834    43.3522   0.271654    43.1911   0.273568    25.0916   0.242478    25.5146   0.246695     36.3593   0.208881      36.483   0.209713
   13    130    140    89.5529  0.0390136     89.551  0.0390205    53.6617    0.39112    53.3962   0.404224    48.4501   0.285127    49.0666   0.281706    30.5535   0.245362    30.9849   0.253267     41.1194    0.21026     41.9536   0.211904
   14    140    150    99.1872  0.0402621    99.1378  0.0402924     62.096   0.349738    62.0514   0.346157    54.1336   0.296111    54.5404   0.301129    36.2157   0.260495     36.001   0.256161     46.4964   0.215309     46.5988   0.217464
   15    150    160    108.711  0.0416977    108.758  0.0415992    70.6048   0.310859    70.1632   0.321379    61.0896   0.321761    61.2194    0.32571    42.0584   0.266072    41.6956   0.271812     52.6046   0.226765     52.6129   0.231206
   16    160    170    118.278  0.0428509    118.299  0.0428377    79.3107    0.29995    79.3625   0.297977    66.6187   0.346784     66.783   0.347446    48.1515   0.293215    48.2787   0.296171     58.2541   0.242398     58.4561   0.243897
   17    170    180    127.851  0.0440672    127.874  0.0441043     88.987   0.292161    88.1346    0.29422    73.1751    0.37677    72.8843   0.374646    54.5135   0.311905     54.439   0.307135     64.4196   0.258044      64.233   0.255529
   18    180    190     137.54  0.0450972    137.578  0.0450655    97.7772   0.283079    97.8843   0.282761    79.8642   0.404237    78.9785   0.406941    61.4681   0.343909    60.2665   0.335568     71.1928   0.277448     70.0503   0.275928
   19    190    200    147.193  0.0460363    147.277  0.0459991     107.06   0.279826    107.401    0.28023    86.2297   0.436557    85.3607   0.439144    67.1582   0.362544    68.1511   0.353171     77.1312   0.295787     77.0213   0.291492
   20    200    210    156.995  0.0468134    157.063  0.0468212    116.214   0.279978    116.151   0.280314    91.6951   0.473523    92.1123   0.474014    74.6241   0.387246    74.1586   0.384175     83.2761    0.31386      83.197   0.313417
   21    210    220    166.802  0.0476324    166.695  0.0476878    125.234   0.282333    125.012   0.280824    98.0847   0.505194    98.7471   0.507187    80.9601   0.408773    80.7917   0.408184     89.4686   0.331462      89.714   0.332654
   22    220    230    176.564  0.0483752    176.673  0.0481931    134.203   0.279374    134.671   0.282043    105.436   0.541716    106.139   0.545101    88.8238   0.434511    88.6574   0.437552     96.9483   0.352026     97.2479   0.355187
   23    230    240    186.438  0.0490034    186.345  0.0489767    143.748   0.283602    143.381   0.287701    113.204   0.588503     113.16   0.573845    95.1118   0.467945     94.497   0.470202     103.869   0.380602     103.679   0.377643
   24    240    250    196.177  0.0495907    196.205   0.049612    152.448   0.286689    152.506   0.289837    119.414   0.635722    121.623     0.6261    103.467   0.495791    102.753   0.500423     111.078   0.404517     111.883   0.405787
   25    250    260    206.034  0.0503399     206.12  0.0501406    162.135   0.292032    162.262   0.294111    128.298   0.671624    129.157   0.670408    110.213   0.527001    110.747   0.524666     118.697   0.428254     119.329   0.426806
   26    260    270    215.999  0.0508386    215.949  0.0508302    171.717   0.297162     171.69   0.294567    135.752   0.726221    136.069   0.729104    118.672    0.55258    118.716   0.554375     126.532   0.454083     126.518   0.454139
   27    270    280    225.795  0.0515635    225.841  0.0514433    180.905   0.297748    180.963    0.30012    144.247   0.774924    145.632   0.785151    127.111   0.587976     127.57   0.581312     134.812   0.481521     135.615   0.482387
   28    280    290    235.754  0.0519161    235.709   0.051995    190.177   0.304323    191.123   0.303377    153.385   0.834792    152.869   0.837064    134.916   0.619875    134.179   0.630239     142.957   0.511636     142.418   0.517482
   29    290    300    245.588  0.0525482    245.601  0.0525023    200.521   0.308751    200.374   0.307342    161.551   0.874258    160.739   0.884462    143.631   0.659564    142.512   0.645306     151.402   0.538828     150.367   0.535983
   30    300    310    255.453  0.0530851    255.438  0.0530431    209.259   0.315545    209.856    0.31256    171.307   0.933152    171.268   0.955918    151.364   0.681739    149.932   0.688902     159.924   0.566511     158.934   0.576096
   31    310    320    265.338  0.0536472    265.328  0.0537834     219.07   0.317719    219.018    0.31852    178.446     1.0019    180.543    1.01469     159.87   0.709234    158.698   0.733223     167.588    0.59449     167.864   0.611703
   32    320    330    275.247  0.0542622    275.156  0.0544133     229.01    0.32007    229.029   0.321741    188.723     1.0955    187.708    1.10023    168.161   0.763007    168.463   0.758945     176.429   0.642784     176.148   0.640575
   33    330    340    285.011  0.0551508    285.028  0.0550466    238.365   0.332576      238.5   0.327061     196.48    1.18224    200.001    1.16415    177.148   0.780622    175.926    0.79285     184.658   0.670122     185.389   0.675726
   34    340    350    294.888  0.0558104    294.889   0.055783    248.443   0.332849    248.615   0.333201    206.773     1.2027    209.384    1.23025    184.557   0.835117    186.479   0.839705     193.385   0.704211     195.373   0.712121
   35    350    360    304.714  0.0565532    304.659  0.0566072    257.596   0.339114    258.676   0.337924    216.919    1.30834    215.843    1.34335    195.112   0.865298    193.276   0.884162     203.269   0.739649     201.815    0.75886
   36    360    370    314.611  0.0571976     314.56  0.0575401    267.587   0.348538    267.327   0.348806    227.001    1.36999    226.086     1.3919    203.599   0.904842    202.363    0.91374     212.298   0.774474      211.01   0.782527
   37    370    380    324.274  0.0582401     324.56  0.0580092    277.691   0.350785    277.376    0.35942    239.906    1.43901    234.539    1.48002    212.598   0.946349    213.737   0.932767     222.524   0.813361      221.25    0.80961
