Abs(theta)	Type0		Type1		Type23
0.5		190		2		4
1.5		527		4		2
2.5		870		6		5
3.5		1262		13		6
4.5		1598		21		13
5.5		2031		26		29
6.5		2192		16		19
7.5		2615		28		16
8.5		3020		28		26
9.5		3322		25		19
10.5		3543		35		26
11.5		4001		47		28
12.5		4463		49		33
13.5		4613		62		52
14.5		5025		55		35
15.5		5530		58		52
16.5		5793		72		43
17.5		6034		65		50
18.5		6384		86		49
19.5		6721		84		61
20.5		7103		84		60
21.5		7193		93		55
22.5		7526		100		48
23.5		7983		109		78
24.5		8332		126		73
25.5		8641		127		78
26.5		8942		139		87
27.5		9045		138		87
28.5		9555		136		88
29.5		9743		157		87
30.5		10069		148		103
31.5		10253		182		114
32.5		10651		161		113
33.5		10796		174		106
34.5		11103		211		125
35.5		11485		218		123
36.5		11687		220		135
37.5		11875		224		133
38.5		12146		235		158
39.5		12758		249		143
40.5		12610		238		151
41.5		13089		276		152
42.5		13352		300		162
43.5		13514		330		201
44.5		13600		302		165
45.5		13965		331		186
46.5		14033		338		183
47.5		14393		368		221
48.5		14695		398		203
49.5		14767		366		225
50.5		15151		410		244
51.5		15206		423		268
52.5		15234		436		258
53.5		15323		493		233
54.5		15635		464		246
55.5		15767		452		279
56.5		15767		508		273
57.5		16009		510		288
58.5		16485		517		312
59.5		16263		593		288
60.5		16731		562		271
61.5		16619		631		311
62.5		16764		643		293
63.5		16892		620		320
64.5		17150		620		329
65.5		16993		666		342
66.5		17350		716		362
67.5		17372		685		327
68.5		17431		706		310
69.5		17633		704		415
70.5		17496		669		399
71.5		17813		729		366
72.5		17931		744		395
73.5		17715		731		426
74.5		17961		798		429
75.5		17741		773		412
76.5		17876		761		457
77.5		18027		807		423
78.5		18142		813		436
79.5		18110		881		436
80.5		17972		828		444
81.5		18259		842		459
82.5		18058		855		458
83.5		18102		876		475
84.5		18229		901		489
85.5		18171		885		503
86.5		18174		948		502
87.5		17880		807		553
88.5		18056		841		469
89.5		17804		862		470
