Abs(theta)	Type0		Type1		Type23
0.5		488		6		4
1.5		1507		11		7
2.5		2533		22		20
3.5		3480		41		20
4.5		4508		46		28
5.5		5519		56		46
6.5		6541		77		43
7.5		7507		79		63
8.5		8496		86		75
9.5		9458		80		81
10.5		10430		114		86
11.5		11431		108		103
12.5		12407		128		98
13.5		13413		155		108
14.5		14330		144		110
15.5		15300		183		128
16.5		16257		178		129
17.5		17272		196		138
18.5		18181		205		150
19.5		19073		241		166
20.5		20044		248		170
21.5		20864		304		177
22.5		21800		266		183
23.5		22731		318		204
24.5		23628		318		222
25.5		24372		356		232
26.5		25331		391		225
27.5		26243		365		238
28.5		27138		405		273
29.5		27885		453		290
30.5		28705		436		285
31.5		29571		463		315
32.5		30317		477		317
33.5		31165		560		326
34.5		31914		605		368
35.5		32684		624		354
36.5		33398		681		374
37.5		34230		649		389
38.5		34916		721		393
39.5		35530		755		416
40.5		36414		731		478
41.5		37128		792		437
42.5		37678		844		511
43.5		38469		822		509
44.5		38943		903		553
45.5		39724		917		531
46.5		40164		988		562
47.5		40655		1051		583
48.5		41445		1051		590
49.5		41774		1193		626
50.5		42465		1201		624
51.5		43034		1139		650
52.5		43387		1219		688
53.5		43912		1367		688
54.5		44423		1374		700
55.5		44930		1395		704
56.5		45368		1428		798
57.5		45773		1529		830
58.5		46103		1516		813
59.5		46693		1482		802
60.5		46999		1614		794
61.5		47307		1680		863
62.5		47639		1685		946
63.5		47851		1765		942
64.5		48313		1785		943
65.5		48624		1784		1013
66.5		48999		1897		962
67.5		49040		1951		1073
68.5		49251		1981		1057
69.5		49725		2013		1067
70.5		49768		2090		1053
71.5		50122		2097		1109
72.5		50407		2129		1145
73.5		50345		2262		1166
74.5		50685		2087		1219
75.5		50805		2194		1185
76.5		50986		2248		1194
77.5		51053		2349		1251
78.5		51112		2298		1196
79.5		51292		2280		1357
80.5		51453		2333		1232
81.5		51406		2317		1242
82.5		51459		2346		1322
83.5		51567		2355		1396
84.5		51377		2426		1393
85.5		51265		2357		1393
86.5		51535		2404		1490
87.5		50430		2422		1449
88.5		49371		2321		1440
89.5		47363		2283		1429
