Abs(theta)	Type0		Type1		Type23
0.5		158		0		0
1.5		499		3		3
2.5		840		11		10
3.5		1230		9		10
4.5		1606		21		15
5.5		1968		22		13
6.5		2255		31		17
7.5		2678		26		15
8.5		2903		34		26
9.5		3401		40		34
10.5		3611		36		32
11.5		4008		48		26
12.5		4355		45		39
13.5		4745		51		27
14.5		4990		57		40
15.5		5457		61		46
16.5		5687		60		50
17.5		6054		68		52
18.5		6456		80		53
19.5		6778		92		53
20.5		7021		97		64
21.5		7333		116		57
22.5		7733		89		78
23.5		8238		93		73
24.5		8265		111		73
25.5		8731		123		99
26.5		8954		127		83
27.5		9495		110		93
28.5		9353		150		89
29.5		9803		162		98
30.5		10059		137		79
31.5		10293		173		137
32.5		10714		191		126
33.5		10986		169		123
34.5		11165		166		110
35.5		11416		230		110
36.5		11789		200		121
37.5		12122		219		144
38.5		12610		253		157
39.5		12351		255		148
40.5		12831		299		144
41.5		12699		305		158
42.5		13403		305		151
43.5		13516		301		207
44.5		13858		317		214
45.5		13988		338		198
46.5		14227		354		200
47.5		14468		346		234
48.5		14463		388		203
49.5		14781		383		217
50.5		14840		443		222
51.5		15307		408		237
52.5		15116		452		250
53.5		15485		433		263
54.5		15681		471		283
55.5		15612		512		265
56.5		16168		481		266
57.5		16153		522		287
58.5		16442		494		290
59.5		16477		570		284
60.5		16560		568		300
61.5		16532		565		327
62.5		16976		609		362
63.5		16872		633		325
64.5		17258		664		330
65.5		17344		675		341
66.5		17205		668		347
67.5		17372		696		357
68.5		17627		692		347
69.5		17413		688		352
70.5		17686		725		397
71.5		17663		730		391
72.5		17879		787		401
73.5		17725		798		445
74.5		17923		789		386
75.5		17730		766		409
76.5		18065		853		437
77.5		17959		786		470
78.5		18189		777		455
79.5		18053		844		472
80.5		17956		888		482
81.5		18161		795		469
82.5		18278		855		462
83.5		18187		823		466
84.5		18146		862		463
85.5		18332		872		520
86.5		18077		855		541
87.5		18047		847		489
88.5		18384		939		503
89.5		17352		876		517
