Abs(theta)	Type0		Type1		Type23
0.5		246		1		2
1.5		744		10		4
2.5		1250		11		10
3.5		1744		15		15
4.5		2220		25		26
5.5		2727		28		21
6.5		3199		32		24
7.5		3711		36		34
8.5		4192		47		36
9.5		4678		43		39
10.5		5180		57		47
11.5		5692		53		43
12.5		6157		70		56
13.5		6583		83		42
14.5		7090		74		59
15.5		7567		93		60
16.5		8076		90		69
17.5		8541		97		68
18.5		8991		91		72
19.5		9427		124		83
20.5		9889		139		78
21.5		10316		135		91
22.5		10815		129		100
23.5		11282		142		93
24.5		11657		172		105
25.5		12125		160		120
26.5		12562		187		104
27.5		12984		182		130
28.5		13407		208		143
29.5		13801		219		151
30.5		14275		197		148
31.5		14695		221		174
32.5		15076		240		155
33.5		15449		256		173
34.5		15887		256		189
35.5		16228		259		175
36.5		16535		285		182
37.5		16955		302		192
38.5		17295		314		186
39.5		17656		339		239
40.5		18030		345		256
41.5		18393		361		258
42.5		18656		394		246
43.5		18925		405		283
44.5		19308		439		293
45.5		19592		444		283
46.5		19911		487		255
47.5		20178		492		310
48.5		20442		502		329
49.5		20828		510		326
50.5		21040		518		311
51.5		21265		596		326
52.5		21586		581		331
53.5		21765		605		387
54.5		22035		615		366
55.5		22200		664		413
56.5		22469		629		403
57.5		22620		700		399
58.5		22761		773		448
59.5		23061		721		472
60.5		23215		810		448
61.5		23337		818		498
62.5		23548		802		480
63.5		23789		820		461
64.5		23965		829		488
65.5		23970		908		494
66.5		24215		954		553
67.5		24342		901		550
68.5		24419		914		541
69.5		24611		946		586
70.5		24607		1017		582
71.5		24786		1013		613
72.5		24811		1006		595
73.5		24993		1066		619
74.5		25147		1093		586
75.5		25184		1107		622
76.5		25316		1129		609
77.5		25302		1034		638
78.5		25309		1111		660
79.5		25426		1094		703
80.5		25497		1130		670
81.5		25540		1064		645
82.5		25435		1150		744
83.5		25527		1159		702
84.5		25515		1201		728
85.5		25631		1155		703
86.5		25561		1207		756
87.5		25615		1217		760
88.5		25406		1178		763
89.5		24394		1153		770
